,Data,bola 1,bola 2,bola 3,bola 4,bola 5,bola 6,bola 7,bola 8,bola 9,bola 10,bola 11,bola 12,bola 13,bola 14,bola 15
2167,26/02/2021,002,003,004,006,007,009,011,012,014,016,017,018,019,020,023
2166,2021-02-25 00:00:00,2,3,4,6,9,10,11,12,13,14,15,18,20,21,24
2165,2021-02-24 00:00:00,1,3,5,6,8,13,14,15,16,17,18,20,21,22,23
2164,2021-02-23 00:00:00,2,3,8,10,11,13,14,15,16,17,19,20,21,24,25
2163,2021-02-22 00:00:00,1,2,4,6,10,11,12,13,16,18,19,20,21,23,25
2162,2021-02-20 00:00:00,1,2,3,5,6,8,10,12,14,15,16,17,19,21,22
2161,2021-02-19 00:00:00,1,2,3,5,6,7,9,13,14,15,18,19,22,24,25
2160,18/02/2021,2,4,5,6,8,11,12,14,15,16,18,19,21,24,25
2159,2021-02-17 00:00:00,1,2,4,5,7,12,13,14,16,18,20,21,22,24,25
2158,13/02/2021,3,5,7,8,9,12,14,17,18,19,20,21,23,24,25
2157,12/02/2021,2,4,5,6,12,13,14,16,17,18,19,21,22,24,25
2156,11/02/2021,4,5,6,7,8,10,12,13,14,17,18,19,20,21,23
2155,10/02/2021,1,2,3,4,6,9,13,14,15,17,18,19,20,21,22
2154,09/02/2021,3,4,5,7,8,10,11,12,16,18,19,20,21,23,24
2153,08/02/2021,1,2,4,7,8,9,10,11,13,14,15,17,18,20,21
2152,06/02/2021,2,3,4,6,10,11,12,13,15,16,17,18,20,23,25
2151,05/02/2021,1,3,6,7,8,9,11,12,13,14,15,18,21,22,24
2150,04/02/2021,1,2,3,5,7,8,9,11,12,14,15,16,21,23,25
2149,03/02/2021,1,2,4,8,9,10,12,13,14,15,16,17,18,20,23
2148,02/02/2021,1,3,4,7,8,11,14,15,16,18,20,22,23,24,25
2147,01/02/2021,1,3,5,6,7,8,9,12,14,15,16,19,20,22,25
2146,30/01/2021,1,2,4,6,8,9,11,13,16,17,18,19,20,21,22
2145,29/01/2021,2,5,6,7,8,10,12,13,14,15,17,20,23,24,25
2144,28/01/2021,1,2,5,6,8,9,11,12,13,14,15,17,19,20,25
2143,27/01/2021,1,2,3,6,9,10,11,14,17,18,19,20,21,23,25
2142,26/01/2021,2,4,6,7,9,11,12,14,16,17,20,22,23,24,25
2141,25/01/2021,1,2,3,4,5,7,8,9,10,14,18,22,23,24,25
2140,23/01/2021,1,3,5,6,7,8,9,11,15,17,20,21,22,23,24
2139,22/01/2021,1,2,3,7,8,12,13,14,16,17,18,19,22,23,25
2138,21/01/2021,2,3,5,6,7,8,9,12,13,16,18,19,21,22,24
2137,20/01/2021,2,6,7,9,11,12,13,14,16,17,18,19,20,21,23
2136,19/01/2021,2,3,4,6,7,9,10,13,14,16,18,19,20,24,25
2135,18/01/2021,1,2,3,4,5,6,8,13,15,16,18,19,21,23,25
2134,16/01/2021,1,3,4,6,8,10,12,14,17,18,19,20,21,22,25
2133,15/01/2021,2,4,6,7,8,9,10,11,14,15,17,18,19,21,23
2132,14/01/2021,1,3,6,9,10,11,12,15,17,19,20,21,22,23,24
2131,13/01/2021,1,2,3,7,8,9,10,11,13,14,16,17,19,23,25
2130,12/01/2021,3,4,6,7,9,10,11,12,13,14,15,16,18,20,23
2129,11/01/2021,1,3,4,6,7,8,10,11,14,15,19,20,21,22,24
2128,09/01/2021,2,3,4,6,7,9,10,11,14,16,17,18,22,23,25
2127,08/01/2021,2,3,4,5,6,10,11,13,14,15,16,18,20,23,24
2126,07/01/2021,1,3,4,5,7,8,9,10,12,15,17,21,22,24,25
2125,06/01/2021,1,8,10,11,12,13,15,16,17,19,20,21,23,24,25
